,unique_key,created_date,agency,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,city,status,resolution_action_updated_date,borough,park_facility_name,park_borough,x_coordinate_state_plane,y_coordinate_state_plane,latitude,longitude,location
10,55782997,2022-10-24T00:57:44.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,509 EAST FIFTH STREET,EAST FIFTH STREET,BROOKLYN,In Progress,,BROOKLYN,Unspecified,BROOKLYN,991240,172361,40.63976497700651,-73.97481365614986,"{'latitude': '40.63976497700651', 'longitude': '-73.97481365614986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
11,55781240,2022-10-24T00:57:36.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11377,60-01 NORTHERN BOULEVARD,NORTHERN BOULEVARD,WOODSIDE,In Progress,,QUEENS,Unspecified,QUEENS,1011405,213931,40.7538260013829,-73.90198764195891,"{'latitude': '40.7538260013829', 'longitude': '-73.90198764195891', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
12,55785493,2022-10-24T00:57:31.000,NYPD,Noise - Commercial,Loud Music/Party,Store/Commercial,11222,632 MANHATTAN AVENUE,MANHATTAN AVENUE,BROOKLYN,In Progress,2022-10-24T01:30:11.000,BROOKLYN,Unspecified,BROOKLYN,997870,203022,40.72391471474964,-73.95086249463728,"{'latitude': '40.72391471474964', 'longitude': '-73.95086249463728', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
13,55782996,2022-10-24T00:57:21.000,NYPD,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10016,36 EAST   29 STREET,EAST   29 STREET,NEW YORK,In Progress,2022-10-24T01:06:06.000,MANHATTAN,Unspecified,MANHATTAN,988451,210499,40.744446726125624,-73.98483918742666,"{'latitude': '40.744446726125624', 'longitude': '-73.98483918742666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14,55784691,2022-10-24T00:56:53.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11223,1906 WEST   13 STREET,WEST   13 STREET,BROOKLYN,In Progress,2022-10-24T01:33:16.000,BROOKLYN,Unspecified,BROOKLYN,988451,157861,40.599967258222144,-73.98487199397107,"{'latitude': '40.599967258222144', 'longitude': '-73.98487199397107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
15,55782984,2022-10-24T00:55:53.000,DOHMH,Rodent,Signs of Rodents,1-2 Family Dwelling,11411,118-25 236 STREET,236 STREET,CAMBRIA HEIGHTS,In Progress,,QUEENS,Unspecified,QUEENS,1059871,190284,40.68863934016212,-73.72732251817447,"{'latitude': '40.68863934016212', 'longitude': '-73.72732251817447', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
16,55783420,2022-10-24T00:55:35.000,NYPD,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11373,40-10 83 STREET,83 STREET,ELMHURST,Closed,2022-10-24T00:59:26.000,QUEENS,Unspecified,QUEENS,1016684,211602,40.74741570217279,-73.88294504805867,"{'latitude': '40.74741570217279', 'longitude': '-73.88294504805867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
17,55787315,2022-10-24T00:55:19.000,DSNY,Residential Disposal Complaint,Waste Set Out Too Early or Too Late,Sidewalk,11221,171 VAN BUREN STREET,VAN BUREN STREET,BROOKLYN,In Progress,,BROOKLYN,Unspecified,BROOKLYN,1001180,190872,40.69056012808793,-73.93895140672552,"{'latitude': '40.69056012808793', 'longitude': '-73.93895140672552', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
18,55786352,2022-10-24T00:53:26.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,450 EAST    5 STREET,EAST    5 STREET,BROOKLYN,In Progress,,BROOKLYN,Unspecified,BROOKLYN,991145,172971,40.64143937072531,-73.97515533641214,"{'latitude': '40.64143937072531', 'longitude': '-73.97515533641214', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
19,55786379,2022-10-24T00:53:12.000,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,10024,27 WEST   85 STREET,WEST   85 STREET,NEW YORK,In Progress,2022-10-24T01:05:26.000,MANHATTAN,Unspecified,MANHATTAN,992341,225282,40.78501953738256,-73.97078293628685,"{'latitude': '40.78501953738256', 'longitude': '-73.97078293628685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
20,55781286,2022-10-24T00:52:42.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,766 EAST    9 STREET,EAST    9 STREET,BROOKLYN,In Progress,,BROOKLYN,Unspecified,BROOKLYN,993086,168861,40.630156572290595,-73.96816673881918,"{'latitude': '40.630156572290595', 'longitude': '-73.96816673881918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
21,55786305,2022-10-24T00:52:39.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11691,1016 GRASSMERE TERRACE,GRASSMERE TERRACE,FAR ROCKAWAY,In Progress,,QUEENS,Unspecified,QUEENS,1051556,158854,40.60243824768937,-73.75761853094164,"{'latitude': '40.60243824768937', 'longitude': '-73.75761853094164', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
22,55787160,2022-10-24T00:52:04.000,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,11213,1460 STERLING PLACE,STERLING PLACE,BROOKLYN,In Progress,,BROOKLYN,Unspecified,BROOKLYN,1003631,183903,40.67142678423117,-73.93013329037774,"{'latitude': '40.67142678423117', 'longitude': '-73.93013329037774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
23,55781282,2022-10-24T00:52:00.000,NYPD,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10022,333 EAST   52 STREET,EAST   52 STREET,NEW YORK,In Progress,2022-10-24T01:10:51.000,MANHATTAN,Unspecified,MANHATTAN,993487,214615,40.75574028034785,-73.96665932602404,"{'latitude': '40.75574028034785', 'longitude': '-73.96665932602404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
24,55786369,2022-10-24T00:51:47.000,NYPD,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040,206 DYCKMAN STREET,DYCKMAN STREET,NEW YORK,In Progress,2022-10-24T01:04:53.000,MANHATTAN,Unspecified,MANHATTAN,1004434,254480,40.86514036977211,-73.9270266020605,"{'latitude': '40.86514036977211', 'longitude': '-73.9270266020605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
25,55783026,2022-10-24T00:51:14.000,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,10456,1113 GRANT AVENUE,GRANT AVENUE,BRONX,In Progress,,BRONX,Unspecified,BRONX,1007426,242203,40.83143629486445,-73.91625174310951,"{'latitude': '40.83143629486445', 'longitude': '-73.91625174310951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
26,55785507,2022-10-24T00:51:12.000,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,10460,2118 MAPES AVENUE,MAPES AVENUE,BRONX,In Progress,,BRONX,Unspecified,BRONX,1016030,247911,40.847076312707834,-73.8851335114662,"{'latitude': '40.847076312707834', 'longitude': '-73.8851335114662', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
27,55787167,2022-10-24T00:50:34.000,NYPD,Noise - Residential,Loud Television,Residential Building/House,10451,180 EAST  163 STREET,EAST  163 STREET,BRONX,In Progress,2022-10-24T01:36:32.000,BRONX,Unspecified,BRONX,1006181,241049,40.82827207596835,-73.92075441623977,"{'latitude': '40.82827207596835', 'longitude': '-73.92075441623977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
28,55783427,2022-10-24T00:50:13.000,NYPD,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10040,206 DYCKMAN STREET,DYCKMAN STREET,NEW YORK,Closed,2022-10-24T00:55:17.000,MANHATTAN,Unspecified,MANHATTAN,1004434,254480,40.86514036977211,-73.9270266020605,"{'latitude': '40.86514036977211', 'longitude': '-73.9270266020605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
29,55787173,2022-10-24T00:49:36.000,NYPD,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11216,261 LEXINGTON AVENUE,LEXINGTON AVENUE,BROOKLYN,In Progress,2022-10-24T01:06:11.000,BROOKLYN,Unspecified,BROOKLYN,997461,189762,40.687519766374464,-73.95236407759232,"{'latitude': '40.687519766374464', 'longitude': '-73.95236407759232', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
30,55783851,2022-10-24T00:49:16.000,NYPD,Noise - Commercial,Loud Music/Party,Store/Commercial,10458,2330 ARTHUR AVENUE,ARTHUR AVENUE,BRONX,In Progress,2022-10-24T01:53:40.000,BRONX,Unspecified,BRONX,1014993,250442,40.85402682399926,-73.88887006240707,"{'latitude': '40.85402682399926', 'longitude': '-73.88887006240707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
31,55783850,2022-10-24T00:49:06.000,NYPD,Noise - Commercial,Loud Music/Party,Store/Commercial,11222,632 MANHATTAN AVENUE,MANHATTAN AVENUE,BROOKLYN,In Progress,2022-10-24T01:26:56.000,BROOKLYN,Unspecified,BROOKLYN,997870,203022,40.72391471474964,-73.95086249463728,"{'latitude': '40.72391471474964', 'longitude': '-73.95086249463728', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
32,55786298,2022-10-24T00:48:58.000,NYPD,Abandoned Vehicle,With License Plate,Street/Sidewalk,11368,111-74 43 AVENUE,43 AVENUE,CORONA,Closed,2022-10-24T00:59:11.000,QUEENS,Unspecified,QUEENS,1024640,212454,40.74972146469395,-73.85422661638823,"{'latitude': '40.74972146469395', 'longitude': '-73.85422661638823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
33,55786354,2022-10-24T00:48:32.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,420 EAST    5 STREET,EAST    5 STREET,BROOKLYN,In Progress,,BROOKLYN,Unspecified,BROOKLYN,991117,173166,40.64197462561803,-73.9752560299636,"{'latitude': '40.64197462561803', 'longitude': '-73.9752560299636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
34,55784714,2022-10-24T00:47:02.000,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11377,48-16 47 STREET,47 STREET,WOODSIDE,In Progress,,QUEENS,Unspecified,QUEENS,1006789,208390,40.73863032417854,-73.91866703827787,"{'latitude': '40.73863032417854', 'longitude': '-73.91866703827787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
35,55786444,2022-10-24T00:46:55.000,DHS,Homeless Person Assistance,Non-Chronic,Subway,,,,,In Progress,,QUEENS,Unspecified,QUEENS,1029269,187683,40.68170876319598,-73.83768557720651,"{'latitude': '40.68170876319598', 'longitude': '-73.83768557720651', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
36,55781754,2022-10-24T00:46:03.000,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,10451,328 EAST  145 STREET,EAST  145 STREET,BRONX,Closed,2022-10-24T00:58:15.000,BRONX,Unspecified,BRONX,1005889,236144,40.8148099628792,-73.92182534717347,"{'latitude': '40.8148099628792', 'longitude': '-73.92182534717347', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
37,55781316,2022-10-24T00:45:48.000,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,10029,128 EAST  108 STREET,EAST  108 STREET,NEW YORK,In Progress,2022-10-24T01:15:13.000,MANHATTAN,Unspecified,MANHATTAN,999240,228473,40.793768965432314,-73.94586313625102,"{'latitude': '40.793768965432314', 'longitude': '-73.94586313625102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
38,55784708,2022-10-24T00:45:39.000,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,10032,1909 AMSTERDAM AVENUE,AMSTERDAM AVENUE,NEW YORK,In Progress,2022-10-24T01:12:38.000,MANHATTAN,Unspecified,MANHATTAN,999980,242150,40.8313072254753,-73.94315855121066,"{'latitude': '40.8313072254753', 'longitude': '-73.94315855121066', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
39,55781305,2022-10-24T00:45:06.000,NYPD,Noise - Commercial,Car/Truck Music,Store/Commercial,11235,35 NEPTUNE AVENUE,NEPTUNE AVENUE,BROOKLYN,In Progress,2022-10-24T01:16:33.000,BROOKLYN,Unspecified,BROOKLYN,996620,151633,40.58286501100883,-73.95546643151422,"{'latitude': '40.58286501100883', 'longitude': '-73.95546643151422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
40,55786092,2022-10-24T00:44:07.000,NYPD,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11217,161 SOUTH ELLIOTT PLACE,SOUTH ELLIOTT PLACE,BROOKLYN,Closed,2022-10-24T00:50:55.000,BROOKLYN,Unspecified,BROOKLYN,991157,188746,40.68473824351293,-73.97509593672214,"{'latitude': '40.68473824351293', 'longitude': '-73.97509593672214', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
41,55782946,2022-10-24T00:43:58.000,NYPD,Blocked Driveway,Partial Access,Street/Sidewalk,11218,533 EAST    4 STREET,EAST    4 STREET,BROOKLYN,In Progress,,BROOKLYN,Unspecified,BROOKLYN,991005,172164,40.63922443650675,-73.97566060452388,"{'latitude': '40.63922443650675', 'longitude': '-73.97566060452388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
42,55787230,2022-10-24T00:43:10.000,DHS,Homeless Person Assistance,Chronic,Subway,,,,,In Progress,,MANHATTAN,Unspecified,MANHATTAN,981184,196664,40.706473479081474,-74.0110584556802,"{'latitude': '40.706473479081474', 'longitude': '-74.0110584556802', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
43,55787132,2022-10-24T00:42:26.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11226,423 EAST   23 STREET,EAST   23 STREET,BROOKLYN,In Progress,2022-10-24T01:09:11.000,BROOKLYN,Unspecified,BROOKLYN,996435,172373,40.639792291060566,-73.9560950308931,"{'latitude': '40.639792291060566', 'longitude': '-73.9560950308931', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
44,55782099,2022-10-24T00:40:44.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11237,1518 GREENE AVENUE,GREENE AVENUE,BROOKLYN,In Progress,2022-10-24T01:47:20.000,BROOKLYN,Unspecified,BROOKLYN,1007921,195405,40.70298669108219,-73.91462783627804,"{'latitude': '40.70298669108219', 'longitude': '-73.91462783627804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
45,55782162,2022-10-24T00:40:36.000,NYPD,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11357,17-27 166 STREET,166 STREET,WHITESTONE,In Progress,2022-10-24T01:33:19.000,QUEENS,Unspecified,QUEENS,1040396,224186,40.78183667941641,-73.79726309740518,"{'latitude': '40.78183667941641', 'longitude': '-73.79726309740518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
46,55787138,2022-10-24T00:40:15.000,NYPD,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11219,1407 60 STREET,60 STREET,BROOKLYN,In Progress,,BROOKLYN,Unspecified,BROOKLYN,985384,167804,40.62725966422594,-73.99591474077452,"{'latitude': '40.62725966422594', 'longitude': '-73.99591474077452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
47,55783558,2022-10-24T00:40:15.000,NYPD,Noise - Residential,Loud Talking,Residential Building/House,10031,620 WEST  141 STREET,WEST  141 STREET,NEW YORK,Closed,2022-10-24T00:46:50.000,MANHATTAN,Unspecified,MANHATTAN,997264,239545,40.82416166479311,-73.95297805704422,"{'latitude': '40.82416166479311', 'longitude': '-73.95297805704422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
48,55782733,2022-10-24T00:39:47.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10314,DENKER PLACE,DENKER PLACE,,Closed,2022-10-24T00:51:15.000,STATEN ISLAND,Unspecified,STATEN ISLAND,941180,153471,40.587813948122296,-74.15506902636314,"{'latitude': '40.587813948122296', 'longitude': '-74.15506902636314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
49,55781318,2022-10-24T00:38:38.000,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,11220,4911 7 AVENUE,7 AVENUE,BROOKLYN,In Progress,2022-10-24T01:11:21.000,BROOKLYN,Unspecified,BROOKLYN,982738,173494,40.642877448208466,-74.00544828723378,"{'latitude': '40.642877448208466', 'longitude': '-74.00544828723378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
50,55783779,2022-10-24T00:38:32.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11226,272 EAST   16 STREET,EAST   16 STREET,BROOKLYN,In Progress,2022-10-24T01:21:39.000,BROOKLYN,Unspecified,BROOKLYN,994253,173775,40.64364321297501,-73.96395512952175,"{'latitude': '40.64364321297501', 'longitude': '-73.96395512952175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
51,55782179,2022-10-24T00:38:06.000,NYPD,Noise - Residential,Banging/Pounding,Residential Building/House,10027,20 WEST  129 STREET,WEST  129 STREET,NEW YORK,In Progress,2022-10-24T01:22:21.000,MANHATTAN,Unspecified,MANHATTAN,1000389,234204,40.809496964201664,-73.94169971190213,"{'latitude': '40.809496964201664', 'longitude': '-73.94169971190213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
52,55785616,2022-10-24T00:38:05.000,DSNY,Illegal Dumping,Removal Request,Street,11210,817 EAST   39 STREET,EAST   39 STREET,BROOKLYN,In Progress,,BROOKLYN,Unspecified,BROOKLYN,1001053,171481,40.63733638520293,-73.93945768791363,"{'latitude': '40.63733638520293', 'longitude': '-73.93945768791363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
53,55785430,2022-10-24T00:38:01.000,NYPD,Abandoned Vehicle,With License Plate,Street/Sidewalk,10458,2904 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,BRONX,In Progress,,BRONX,Unspecified,BRONX,1016505,254675,40.86563973187802,-73.88338411373894,"{'latitude': '40.86563973187802', 'longitude': '-73.88338411373894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
54,55787130,2022-10-24T00:37:23.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11417,137-20 94 STREET,94 STREET,OZONE PARK,In Progress,,QUEENS,Unspecified,QUEENS,1028063,184168,40.67206694893742,-73.8420566088586,"{'latitude': '40.67206694893742', 'longitude': '-73.8420566088586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
55,55783093,2022-10-24T00:37:18.000,DHS,Homeless Person Assistance,Non-Chronic,Subway,,,,,In Progress,,MANHATTAN,Unspecified,MANHATTAN,981184,196664,40.706473479081474,-74.0110584556802,"{'latitude': '40.706473479081474', 'longitude': '-74.0110584556802', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
56,55783002,2022-10-24T00:37:16.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11373,78-75 47 AVENUE,47 AVENUE,ELMHURST,In Progress,,QUEENS,Unspecified,QUEENS,1015945,208950,40.74013931068363,-73.88562460768067,"{'latitude': '40.74013931068363', 'longitude': '-73.88562460768067', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
57,55787172,2022-10-24T00:36:51.000,NYPD,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11368,100-26 41 AVENUE,41 AVENUE,CORONA,In Progress,,QUEENS,Unspecified,QUEENS,1021784,211891,40.748188757281845,-73.86453746090947,"{'latitude': '40.748188757281845', 'longitude': '-73.86453746090947', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
58,55782151,2022-10-24T00:35:41.000,NYPD,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10022,299 EAST   52 STREET,EAST   52 STREET,NEW YORK,In Progress,2022-10-24T01:10:31.000,MANHATTAN,Unspecified,MANHATTAN,993325,214706,40.7559902199129,-73.96724393727695,"{'latitude': '40.7559902199129', 'longitude': '-73.96724393727695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
59,55782157,2022-10-24T00:35:01.000,NYPD,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11368,33-31 100 STREET,100 STREET,CORONA,In Progress,,QUEENS,Unspecified,QUEENS,1020731,214922,40.75651248208977,-73.86832135365165,"{'latitude': '40.75651248208977', 'longitude': '-73.86832135365165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
60,55784631,2022-10-24T00:34:34.000,NYPD,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,524 VANDALIA AVENUE,VANDALIA AVENUE,BROOKLYN,Closed,2022-10-24T00:53:50.000,BROOKLYN,Unspecified,BROOKLYN,1019436,178212,40.65575755708385,-73.87318749107028,"{'latitude': '40.65575755708385', 'longitude': '-73.87318749107028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
61,55786443,2022-10-24T00:34:26.000,DHS,Homeless Person Assistance,Chronic,Subway,,,,,In Progress,,MANHATTAN,Unspecified,MANHATTAN,994185,233553,40.80771930443076,-73.96411191114464,"{'latitude': '40.80771930443076', 'longitude': '-73.96411191114464', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
62,55781319,2022-10-24T00:34:21.000,NYPD,Noise - Residential,Loud Music/Party,Residential Building/House,10459,870 JENNINGS STREET,JENNINGS STREET,BRONX,In Progress,,BRONX,Unspecified,BRONX,1014019,242580,40.832451289155486,-73.89242577928935,"{'latitude': '40.832451289155486', 'longitude': '-73.89242577928935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
63,55783412,2022-10-24T00:34:00.000,DOT,Street Light Condition,Street Light Out,,10471,,,BRONX,Open,,BRONX,Unspecified,BRONX,1010034,269518,40.906400360822914,-73.90672243603085,"{'latitude': '40.906400360822914', 'longitude': '-73.90672243603085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
